"18 Digit Account ID Conversion","Account ID","Account Name","Billing Country (text only)","Website","Website URL cleaned","Crunchbase URL","Company NOT in Crunchbase","Company AIN'T BEEN CHECKED in Crunchbase"
"0012A00002DuSqcQAF","0012A00002DuSqc","6kites","United States","http://6kites.com/","6kites.com/","https://www.crunchbase.com/organization/6kites","0","0"
"001F000001VcZkjIAF","001F000001VcZkj","6sense","United States","http://www.6sense.com","6sense.com","https://www.crunchbase.com/organization/6sense","0","0"
"0012A00002JsrufQAB","0012A00002Jsruf","70 Million Jobs","United States","https://www.70millionjobs.com/","70millionjobs.com/","https://www.crunchbase.com/organization/70-million-jobs","0","0"
"0011Y00002rb8bRQAQ","0011Y00002rb8bR","747 Games","United States","http://747games.in","747games.in","","0","1"
"0012A00002KHXvwQAH","0012A00002KHXvw","7 Seas","United States","","","","0","1"
"001F000001RfWdmIAF","001F000001RfWdm","7Summits","United States","http://www.7summitsinc.com","7summitsinc.com","https://www.crunchbase.com/organization/7summits","0","0"
"0012A000029rIOYQA2","0012A000029rIOY","816 New York","United States","https://816nyc.com/","816nyc.com/","https://www.crunchbase.com/organization/816-new-york","0","0"
"0011Y00002rb8bSQAQ","0011Y00002rb8bS","888","United States","","","","0","1"
"0011Y00002nuC8nQAE","0011Y00002nuC8n","8base","United States","http://8base.com","8base.com","https://www.crunchbase.com/organization/8base-2","0","0"
"001F000001IvHctIAF","001F000001IvHct","9-1-1 Labs Inc.","United States","http://www.9-1-1labs.com","9-1-1labs.com","https://www.crunchbase.com/organization/9-1-1-labs-inc","0","0"
"0012A000029nynnQAA","0012A000029nynn","97th Floor","United States","https://www.97thfloor.com/","97thfloor.com/","https://www.crunchbase.com/organization/97th-floor","0","0"
"0011Y00002reWwkQAE","0011Y00002reWwk","99.co","Singapore","http://www.99.co","99.co","https://www.crunchbase.com/organization/99-co","0","0"
"0012A00002IymVFQAZ","0012A00002IymVF","9917772 Canada Limited","Canada","www.letsptf.live","letsptf.live","","0","1"
"0011Y00002kJTvhQAG","0011Y00002kJTvh","99Aha!","Australia","http://www.99aha.com/","99aha.com/","","0","1"
"0012A00002NnxRGQAZ","0012A00002NnxRG","99starts","Australia","https://www.99starts.com/","99starts.com/","https://www.crunchbase.com/organization/99starts","0","0"
"0012A00002Ta06YQAR","0012A00002Ta06Y","99 Strategies","Australia","http://www.99strategies.com.au/","99strategies.com.au/","","0","1"
"0012A00002DQRXuQAP","0012A00002DQRXu","99Voices","","http://www.99voices.org/","99voices.org/","https://www.crunchbase.com/organization/99voices","0","0"
"0011Y00002rb8bTQAQ","0011Y00002rb8bT","9 Dozen MINDS","United States","http://9dozenminds.com","9dozenminds.com","","0","1"
"0011Y00002reOmpQAE","0011Y00002reOmp","9throute","India","","","","0","1"
"0011Y00002reOnNQAU","0011Y00002reOnN","A.I. Capital Management","United States","","","","0","1"
"0011Y00002nuC8XQAU","0011Y00002nuC8X","A.S. Innovations & Agro","India","asinnovo.com/","asinnovo.com/","","0","1"
"0012A00002LjxNLQAZ","0012A00002LjxNL","a'Pear","Poland","apear.co","apear.co","","0","1"
"0012A00002LjxNMQAZ","0012A00002LjxNM","AAGNAA","India","rameshvram.info","rameshvram.info","","0","1"
"0011Y00002reOplQAE","0011Y00002reOpl","AAITEC","Cameroon","","","","0","1"
"0012A00002Ec0r3QAB","0012A00002Ec0r3","AAkonsult Pty Ltd (Payments2Us)","Australia","https://www.payments2us.com/","payments2us.com/","https://www.crunchbase.com/organization/payments2us","0","0"
"0011Y00002rb8sZQAQ","0011Y00002rb8sZ","Ãko Systems Inc","United States","http://www.iko.systems","iko.systems","https://www.crunchbase.com/organization/�ko-systems","0","0"
"0011Y00002nuC3SQAU","0011Y00002nuC3S","Aatam Creation","India","http://aatamcreation.com/","aatamcreation.com/","","1","0"
"0011Y00002nus0HQAQ","0011Y00002nus0H","Abacus Hive","United States","https://www.abacushive.com/","abacushive.com/","https://www.crunchbase.com/organization/abacus-hive","0","0"
"0012A00002SJV6gQAH","0012A00002SJV6g","Aballoon","United States","https://www.aballoon.com","aballoon.com","https://www.crunchbase.com/organization/aballoon","0","0"
"0012A00002No5x1QAB","0012A00002No5x1","abargon","Mexico","http://abargon.com","abargon.com","","0","1"
"0012A00002JLlB2QAL","0012A00002JLlB2","abc","","http://www.payclub.com.mx/","payclub.com.mx/","https://www.crunchbase.com/organization/payclub","0","0"
"0011Y00002rb8bUQAQ","0011Y00002rb8bU","ABC Presents...","United States","","","","0","1"
"0011Y00002reOs8QAE","0011Y00002reOs8","Abda Digital","India","https://www.abdadigital.com","abdadigital.com","https://www.crunchbase.com/organization/abda-digital-pvt-ltd","0","0"
"0011Y00002reOtmQAE","0011Y00002reOtm","Abdullah Al Mallak","Kuwait","https://spotrapp.com/","spotrapp.com/","https://www.crunchbase.com/organization/spotr-gym-partner-finder","0","0"
"0011Y00002reSatQAE","0011Y00002reSat","ABE","United States","http://www.abebets.com","abebets.com","https://www.crunchbase.com/organization/abe-97ac","0","0"
"0012A00002LjxNNQAZ","0012A00002LjxNN","Abe's Meats","United States","","","","0","1"
"001F000001ZoUoxIAF","001F000001ZoUox","ABEJA","Japan","https://abejainc.com","abejainc.com","https://www.crunchbase.com/organization/abeja-inc-","0","0"
"0012A00002JLlA9QAL","0012A00002JLlA9","Aberrant","United States","www.abrrant.com","abrrant.com","","0","1"
"0011Y0000356klqQAA","0011Y0000356klq","Abilico","United States","http://www.abilico.com","abilico.com","","1","0"
"0011Y00002reOnjQAE","0011Y00002reOnj","Abilitify","Egypt","","","","0","1"
"0012A00002L4QL3QAN","0012A00002L4QL3","Ability enabled","United States","","","","0","1"
"001F000001dbNVbIAM","001F000001dbNVb","Abio Design Lab","Brazil","http://abio.cc/index.php","abio.cc/index.php","","0","1"
"0011Y0000357c0GQAQ","0011Y0000357c0G","Abit Network","Nigeria","","","","0","1"
"0011Y00002kJOKnQAO","0011Y00002kJOKn","ABM","United States","https://www.abmfw.com/","abmfw.com/","https://www.crunchbase.com/organization/abm-82fc","0","0"
"0011Y00002nudlPQAQ","0011Y00002nudlP","A Boring Life","","https://aboringlife.com/","aboringlife.com/","https://www.crunchbase.com/organization/a-boring-life","0","0"
"0011Y00002reOz3QAE","0011Y00002reOz3","ABOTMI","United States","abotmi.com","abotmi.com","","0","1"
"0012A00002TZzWSQA1","0012A00002TZzWS","Above Promotions Company","United States","http://www.abovepromotions.com","abovepromotions.com","https://www.crunchbase.com/organization/above-promotions-company","0","0"
"0011Y00002reOsKQAU","0011Y00002reOsK","AbracaDabra Software Solutions Pvt. Ltd.","India","","","","0","1"
"0012A00002SHzPTQA1","0012A00002SHzPT","Abstract Tube Inc.","United States","https://www.abstract.tube/","abstract.tube/","https://www.crunchbase.com/organization/abstract-tube-inc","0","0"
"0011Y0000357BfpQAE","0011Y0000357Bfp","Abstrakt Cloud Solutions","United States","http://www.abstraktmg.com","abstraktmg.com","","1","0"
"0011Y000031IDbPQAW","0011Y000031IDbP","ABSYZ Software Consulting Pvt Ltd","India","http://www.absyz.com","absyz.com","","1","0"
"0011Y00002reOs3QAE","0011Y00002reOs3","Abuilty","India","","","","0","1"
"0011Y000031HJrmQAG","0011Y000031HJrm","Acada Technology Limited","","https://www.acadatech.com","acadatech.com","https://www.crunchbase.com/organization/acada","0","0"
"0011Y00002reOv7QAE","0011Y00002reOv7","Academlo","Mexico","academlo.com","academlo.com","","0","1"
"0012A00002TaMCAQA3","0012A00002TaMCA","Academy Of Resilience","Australia","http://academyofresilience.com/","academyofresilience.com/","https://www.crunchbase.com/organization/academy-of-resilience","0","0"
"0012A00002LjxNOQAZ","0012A00002LjxNO","Academy of Robotics Private Limited","India","http://www.academyofrobotics.net","academyofrobotics.net","https://www.crunchbase.com/organization/academy-of-robotics-private-limited","0","0"
"0012A00002DfkD9QAJ","0012A00002DfkD9","Academy Xi","Australia","https://academyxi.com/","academyxi.com/","https://www.crunchbase.com/organization/academy-xi","0","0"
"0012A00002JsrvMQAR","0012A00002JsrvM","AccelerateH2O","United States","http://www.AccelerateH2O.org","AccelerateH2O.org","","0","1"
"0012A00002EKw7hQAD","0012A00002EKw7h","Accelerize 360, LLC","United States","https://www.accelerize360.com","accelerize360.com","https://www.crunchbase.com/organization/accelerize360","0","0"
"0012A00002BriVvQAJ","0012A00002BriVv","Accelo","United States","http://www.accelo.com","accelo.com","https://www.crunchbase.com/organization/accelo","0","0"
"0012A00002IymbfQAB","0012A00002Iymbf","Accelo Innovation Private Limited","India","www.accelo.io","accelo.io","","0","1"
"0011Y000031IUGjQAO","0011Y000031IUGj","Access Global Group Inc","United States","https://www.acsgbl.com/","acsgbl.com/","https://www.crunchbase.com/organization/access-global-group-inc","0","0"
"0012A00002LtcO4QAJ","0012A00002LtcO4","accessnow USA","Canada","http://accessnow.me/","accessnow.me/","https://www.crunchbase.com/organization/accessnow-9513","0","0"
"0011Y000031HSkpQAG","0011Y000031HSkp","Accesso","United States","http://www.accesso.com","accesso.com","https://www.crunchbase.com/organization/accesso","0","0"
"0011Y00002nudZ9QAI","0011Y00002nudZ9","accessplanit","United Kingdom","http://www.accessplanit.com","accessplanit.com","https://www.crunchbase.com/organization/accessplanit","0","0"
"0011Y00002reOzsQAE","0011Y00002reOzs","ACC Mobility","Italy","","","","0","1"
"001F000001iGBgwIAG","001F000001iGBgw","Accodex","Australia","http://www.accodex.com/","accodex.com/","https://www.crunchbase.com/organization/accodex","0","0"
"0012A00001vg7NSQAY","0012A00001vg7NS","Accomplice","United States","https://accomplice.co","accomplice.co","https://www.crunchbase.com/organization/accomplice-atlas-venture","0","0"
"0012A00002LlitAQAR","0012A00002LlitA","Accorto","United States","http://www.accorto.com","accorto.com","https://www.crunchbase.com/organization/accorto","0","0"
"0012A00002BLkVpQAL","0012A00002BLkVp","Accountability Solutions Inc","Canada","https://accountabilitycorp.com/","accountabilitycorp.com/","https://www.crunchbase.com/organization/accountability-solutions","0","0"
"0011Y000035xumkQAA","0011Y000035xumk","Accountants for Good","Australia","http://www.accountantsforgood.com/rise","accountantsforgood.com/rise","","1","0"
"0011Y00002reP0SQAU","0011Y00002reP0S","Accounting Panel","Qatar","","","","0","1"
"0012A00002SIPaqQAH","0012A00002SIPaq","Account Spark","United States","https://acctspark.com","acctspark.com","https://www.crunchbase.com/organization/account-spark","0","0"
"0012A00002BImisQAD","0012A00002BImis","Accxia","United Kingdom","www.accxia.com","accxia.com","","1","0"
"0011Y00002reWw2QAE","0011Y00002reWw2","ACE Entertainment Holdings","","http://www.ace-entertainment.net/","ace-entertainment.net/","https://www.crunchbase.com/organization/ace-entertainment","0","0"
"0011Y00002kJOMUQA4","0011Y00002kJOMU","Acerodon","United States","atxbargains.com","atxbargains.com","","0","1"
"0011Y00002rb8bVQAQ","0011Y00002rb8bV","Ace-up, Inc.","United States","https://www.aceup.com","aceup.com","https://www.crunchbase.com/organization/aceup","0","0"
"001F000001nXxjLIAS","001F000001nXxjL","AceWinds Ltd.","United Kingdom","http://www.acewinds.com/","acewinds.com/","","0","1"
